sample	variable	value	description
273	whole_tree_age	20.3741	whole_tree_age
273	island_ori_age	17.5909	island_origin_age
273	island_ori_region	1	island_origin_region
273	rho_d_2	0.025	base_dispersal_rate
273	rho_e_2	0.025	base_extinction_rate
273	rho_w_2	0.025	base_w_speciation_rate
273	rho_b_2	0.15	base_b_speciation_rate
273	sigma_d_1	0	long-distance?
273	sigma_e_1	0	high-island?
273	sigma_w_1	0	high-island?
273	sigma_b_1	1	long-distance?
273	sigma_d_2	0	old-to-young?
273	sigma_e_2	0	net-growth?
273	sigma_w_2	0	net-growth?
273	sigma_b_2	-1	old-to-young?
273	phi_d_1	-1	distance
273	phi_e_1	-1	elevation
273	phi_w_1	1	elevation
273	phi_b_1	0	distance
273	phi_d_2	1	age-diff
273	phi_e_2	0	age
273	phi_w_2	-1	age
273	phi_b_2	-1	age-diff
