sample	variable	value	description
89	whole_tree_age	22.1567	whole_tree_age
89	island_ori_age	18.2094	island_origin_age
89	island_ori_region	1	island_origin_region
89	rho_d_2	0.025	base_dispersal_rate
89	rho_e_2	0.025	base_extinction_rate
89	rho_w_2	0.025	base_w_speciation_rate
89	rho_b_2	0.15	base_b_speciation_rate
89	sigma_d_1	-1	long-distance?
89	sigma_e_1	-1	high-island?
89	sigma_w_1	0	high-island?
89	sigma_b_1	1	long-distance?
89	sigma_d_2	1	old-to-young?
89	sigma_e_2	0	net-growth?
89	sigma_w_2	-1	net-growth?
89	sigma_b_2	-1	old-to-young?
89	phi_d_1	-1	distance
89	phi_e_1	-1	elevation
89	phi_w_1	1	elevation
89	phi_b_1	0	distance
89	phi_d_2	1	age-diff
89	phi_e_2	1	age
89	phi_w_2	-1	age
89	phi_b_2	0	age-diff
