sample	variable	value	description
272	whole_tree_age	20.5249	whole_tree_age
272	island_ori_age	18.2968	island_origin_age
272	island_ori_region	1	island_origin_region
272	rho_d_2	0.05	base_dispersal_rate
272	rho_e_2	0.05	base_extinction_rate
272	rho_w_2	0.05	base_w_speciation_rate
272	rho_b_2	0.2	base_b_speciation_rate
272	sigma_d_1	-1	long-distance?
272	sigma_e_1	-1	high-island?
272	sigma_w_1	1	high-island?
272	sigma_b_1	1	long-distance?
272	sigma_d_2	0	old-to-young?
272	sigma_e_2	-1	net-growth?
272	sigma_w_2	-1	net-growth?
272	sigma_b_2	0	old-to-young?
272	phi_d_1	0	distance
272	phi_e_1	0	elevation
272	phi_w_1	1	elevation
272	phi_b_1	1	distance
272	phi_d_2	-1	age-diff
272	phi_e_2	0	age
272	phi_w_2	-1	age
272	phi_b_2	1	age-diff
