sample	variable	value	description
109	whole_tree_age	20.7632	whole_tree_age
109	island_ori_age	6.43579	island_origin_age
109	island_ori_region	1	island_origin_region
109	rho_d_2	0.05	base_dispersal_rate
109	rho_e_2	0.05	base_extinction_rate
109	rho_w_2	0.05	base_w_speciation_rate
109	rho_b_2	0.2	base_b_speciation_rate
109	sigma_d_1	-1	long-distance?
109	sigma_e_1	0	high-island?
109	sigma_w_1	0	high-island?
109	sigma_b_1	0	long-distance?
109	sigma_d_2	0	old-to-young?
109	sigma_e_2	-1	net-growth?
109	sigma_w_2	-1	net-growth?
109	sigma_b_2	1	old-to-young?
109	phi_d_1	0	distance
109	phi_e_1	-1	elevation
109	phi_w_1	0	elevation
109	phi_b_1	1	distance
109	phi_d_2	0	age-diff
109	phi_e_2	1	age
109	phi_w_2	0	age
109	phi_b_2	1	age-diff
