sample	variable	value	description
137	whole_tree_age	29.8121	whole_tree_age
137	island_ori_age	9.78317	island_origin_age
137	island_ori_region	2	island_origin_region
137	rho_d_2	0.05	base_dispersal_rate
137	rho_e_2	0.05	base_extinction_rate
137	rho_w_2	0.05	base_w_speciation_rate
137	rho_b_2	0.2	base_b_speciation_rate
137	sigma_d_1	0	long-distance?
137	sigma_e_1	0	high-island?
137	sigma_w_1	1	high-island?
137	sigma_b_1	1	long-distance?
137	sigma_d_2	1	old-to-young?
137	sigma_e_2	-1	net-growth?
137	sigma_w_2	-1	net-growth?
137	sigma_b_2	1	old-to-young?
137	phi_d_1	0	distance
137	phi_e_1	-1	elevation
137	phi_w_1	0	elevation
137	phi_b_1	0	distance
137	phi_d_2	-1	age-diff
137	phi_e_2	1	age
137	phi_w_2	0	age
137	phi_b_2	0	age-diff
