sample	variable	value	description
254	whole_tree_age	21.5584	whole_tree_age
254	island_ori_age	5.53172	island_origin_age
254	island_ori_region	2	island_origin_region
254	rho_d_2	0.025	base_dispersal_rate
254	rho_e_2	0.025	base_extinction_rate
254	rho_w_2	0.025	base_w_speciation_rate
254	rho_b_2	0.15	base_b_speciation_rate
254	sigma_d_1	0	long-distance?
254	sigma_e_1	0	high-island?
254	sigma_w_1	1	high-island?
254	sigma_b_1	1	long-distance?
254	sigma_d_2	1	old-to-young?
254	sigma_e_2	1	net-growth?
254	sigma_w_2	0	net-growth?
254	sigma_b_2	-1	old-to-young?
254	phi_d_1	0	distance
254	phi_e_1	0	elevation
254	phi_w_1	0	elevation
254	phi_b_1	0	distance
254	phi_d_2	1	age-diff
254	phi_e_2	1	age
254	phi_w_2	-1	age
254	phi_b_2	-1	age-diff
