sample	variable	value	description
128	whole_tree_age	25.4481	whole_tree_age
128	island_ori_age	3.1469	island_origin_age
128	island_ori_region	4	island_origin_region
128	rho_d_2	0.05	base_dispersal_rate
128	rho_e_2	0.05	base_extinction_rate
128	rho_w_2	0.05	base_w_speciation_rate
128	rho_b_2	0.2	base_b_speciation_rate
128	sigma_d_1	0	long-distance?
128	sigma_e_1	0	high-island?
128	sigma_w_1	1	high-island?
128	sigma_b_1	0	long-distance?
128	sigma_d_2	0	old-to-young?
128	sigma_e_2	-1	net-growth?
128	sigma_w_2	-1	net-growth?
128	sigma_b_2	0	old-to-young?
128	phi_d_1	-1	distance
128	phi_e_1	-1	elevation
128	phi_w_1	0	elevation
128	phi_b_1	1	distance
128	phi_d_2	-1	age-diff
128	phi_e_2	0	age
128	phi_w_2	0	age
128	phi_b_2	0	age-diff
