sample	variable	value	description
260	whole_tree_age	11.9269	whole_tree_age
260	island_ori_age	9.38592	island_origin_age
260	island_ori_region	2	island_origin_region
260	rho_d_2	0.05	base_dispersal_rate
260	rho_e_2	0.05	base_extinction_rate
260	rho_w_2	0.05	base_w_speciation_rate
260	rho_b_2	0.2	base_b_speciation_rate
260	sigma_d_1	-1	long-distance?
260	sigma_e_1	-1	high-island?
260	sigma_w_1	0	high-island?
260	sigma_b_1	0	long-distance?
260	sigma_d_2	0	old-to-young?
260	sigma_e_2	0	net-growth?
260	sigma_w_2	0	net-growth?
260	sigma_b_2	1	old-to-young?
260	phi_d_1	-1	distance
260	phi_e_1	-1	elevation
260	phi_w_1	1	elevation
260	phi_b_1	0	distance
260	phi_d_2	-1	age-diff
260	phi_e_2	1	age
260	phi_w_2	-1	age
260	phi_b_2	1	age-diff
