sample	variable	value	description
230	whole_tree_age	18.8355	whole_tree_age
230	island_ori_age	13.5517	island_origin_age
230	island_ori_region	1	island_origin_region
230	rho_d_2	0.05	base_dispersal_rate
230	rho_e_2	0.05	base_extinction_rate
230	rho_w_2	0.05	base_w_speciation_rate
230	rho_b_2	0.2	base_b_speciation_rate
230	sigma_d_1	-1	long-distance?
230	sigma_e_1	0	high-island?
230	sigma_w_1	0	high-island?
230	sigma_b_1	1	long-distance?
230	sigma_d_2	0	old-to-young?
230	sigma_e_2	0	net-growth?
230	sigma_w_2	0	net-growth?
230	sigma_b_2	0	old-to-young?
230	phi_d_1	-1	distance
230	phi_e_1	0	elevation
230	phi_w_1	0	elevation
230	phi_b_1	1	distance
230	phi_d_2	-1	age-diff
230	phi_e_2	1	age
230	phi_w_2	-1	age
230	phi_b_2	1	age-diff
