sample	variable	value	description
2	whole_tree_age	24.0004	whole_tree_age
2	island_ori_age	10.2183	island_origin_age
2	island_ori_region	2	island_origin_region
2	rho_d_2	0.025	base_dispersal_rate
2	rho_e_2	0.025	base_extinction_rate
2	rho_w_2	0.025	base_w_speciation_rate
2	rho_b_2	0.15	base_b_speciation_rate
2	sigma_d_1	-1	long-distance?
2	sigma_e_1	-1	high-island?
2	sigma_w_1	1	high-island?
2	sigma_b_1	1	long-distance?
2	sigma_d_2	0	old-to-young?
2	sigma_e_2	0	net-growth?
2	sigma_w_2	-1	net-growth?
2	sigma_b_2	-1	old-to-young?
2	phi_d_1	-1	distance
2	phi_e_1	-1	elevation
2	phi_w_1	1	elevation
2	phi_b_1	0	distance
2	phi_d_2	1	age-diff
2	phi_e_2	0	age
2	phi_w_2	0	age
2	phi_b_2	-1	age-diff
